,epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
52,23,2020-06-03,58,MG,Botelhos,3108404.0,city,4,26.718320000000002,0,0,0,0.0,14971.0,True,False
53,23,2020-06-03,42,MG,Brasília de Minas,3108602.0,city,7,21.64034,0,0,0,0.0,32347.0,True,False
54,23,2020-06-03,11,MG,Braúnas,3108800.0,city,0,,0,0,0,0.0,4801.0,True,False
55,23,2020-06-03,28,MG,Brazópolis,3108909.0,city,8,55.32886,1,0,0,0.0,14459.0,True,False
56,23,2020-06-03,32,MG,Brumadinho,3109006.0,city,20,49.87158,2,0,0,0.0,40103.0,True,False
57,23,2020-06-03,34,MG,Bueno Brandão,3109105.0,city,3,27.27025,0,1,0,0.3333,11001.0,True,False
58,23,2020-06-03,5,MG,Buenópolis,3109204.0,city,5,48.23927,4,0,0,0.0,10365.0,True,False
59,23,2020-06-03,12,MG,Bugre,3109253.0,city,1,25.11301,0,0,0,0.0,3982.0,True,False
60,23,2020-06-03,20,MG,Cachoeira de Minas,3109709.0,city,1,8.660260000000001,0,0,0,0.0,11547.0,True,False
61,23,2020-06-03,12,MG,Cachoeira de Pajeú,3102704.0,city,1,10.62473,0,0,0,0.0,9412.0,True,False
62,23,2020-06-03,18,MG,Cachoeira Dourada,3109808.0,city,2,74.29420999999999,0,0,0,0.0,2692.0,True,False
63,23,2020-06-03,39,MG,Caetanópolis,3109907.0,city,3,25.808670000000003,0,0,0,0.0,11624.0,True,False
64,23,2020-06-03,48,MG,Caeté,3110004.0,city,10,22.36236,0,0,0,0.0,44718.0,True,False
65,23,2020-06-03,24,MG,Cajuri,3110202.0,city,1,25.08151,0,0,0,0.0,3987.0,True,False
66,23,2020-06-03,26,MG,Caldas,3110301.0,city,14,96.68508,0,0,0,0.0,14480.0,True,False
67,23,2020-06-03,48,MG,Camanducaia,3110509.0,city,54,248.04777,0,1,0,0.0185,21770.0,True,False
68,23,2020-06-03,59,MG,Cambuí,3110608.0,city,37,125.20727,1,0,0,0.0,29551.0,True,False
69,23,2020-06-03,54,MG,Cambuquira,3110707.0,city,3,23.41189,0,0,0,0.0,12814.0,True,False
70,23,2020-06-03,23,MG,Campanha,3110905.0,city,1,6.0006,0,0,0,0.0,16665.0,True,False
71,23,2020-06-03,23,MG,Campestre,3111002.0,city,1,4.74947,0,0,0,0.0,21055.0,True,False
72,23,2020-06-03,19,MG,Campina Verde,3111101.0,city,5,25.32287,2,0,0,0.0,19745.0,True,False
73,23,2020-06-03,69,MG,Campo Belo,3111200.0,city,6,11.10515,0,0,0,0.0,54029.0,True,False
74,23,2020-06-03,73,MG,Campos Altos,3111507.0,city,4,25.87155,0,0,0,0.0,15461.0,True,False
75,23,2020-06-03,53,MG,Campos Gerais,3111606.0,city,4,13.90144,0,0,0,0.0,28774.0,True,False
76,23,2020-06-03,9,MG,Canápolis,3111804.0,city,1,8.23045,0,0,0,0.0,12150.0,True,False
77,23,2020-06-03,27,MG,Cana Verde,3111903.0,city,6,107.08549,0,0,0,0.0,5603.0,True,False
78,23,2020-06-03,22,MG,Candeias,3112000.0,city,4,26.870890000000003,0,0,0,0.0,14886.0,True,False
